naslov,avtor,ocena
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.35 avg rating — 9,717,517 ratings"
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,703,968 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,764,408 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,733,285 ratings"
The Book Thief,Markus Zusak,"4.39 avg rating — 2,832,122 ratings"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.67 avg rating — 7,197,591 ratings"
Animal Farm,George Orwell,"4.01 avg rating — 4,433,641 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"4.61 avg rating — 142,614 ratings"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"4.28 avg rating — 699,882 ratings"
The Fault in Our Stars,John Green,"4.12 avg rating — 5,636,088 ratings"
The Picture of Dorian Gray,Oscar Wilde,"4.13 avg rating — 1,820,658 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"4.31 avg rating — 3,374,987 ratings"
Wuthering Heights,Emily Brontë,"3.90 avg rating — 1,989,495 ratings"
The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,220,312 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,733,285 ratings"
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,249,997 ratings"
The Perks of Being a Wallflower,Stephen Chbosky,"4.24 avg rating — 1,969,523 ratings"
The Little Prince,Antoine de Saint-Exupéry,"4.33 avg rating — 2,415,113 ratings"
Jane Eyre,Charlotte Brontë,"4.16 avg rating — 2,285,148 ratings"
The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 5,803,249 ratings"
Crime and Punishment,Fyodor Dostoevsky,"4.28 avg rating — 1,047,280 ratings"
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"3.93 avg rating — 2,495,267 ratings"
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"4.06 avg rating — 602,560 ratings"
"Divergent (Divergent, #1)",Veronica Roth,"4.13 avg rating — 4,324,117 ratings"
Memoirs of a Geisha,Arthur Golden,"4.16 avg rating — 2,094,180 ratings"
Les Misérables,Victor Hugo,"4.21 avg rating — 836,215 ratings"
The Alchemist,Paulo Coelho,"3.92 avg rating — 3,487,099 ratings"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"4.32 avg rating — 1,093,525 ratings"
Lord of the Flies,William Golding,"3.70 avg rating — 3,149,976 ratings"
Brave New World,Aldous Huxley,"3.99 avg rating — 2,042,153 ratings"
Romeo and Juliet,William Shakespeare,"3.74 avg rating — 2,789,623 ratings"
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"4.22 avg rating — 1,988,632 ratings"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"4.07 avg rating — 2,144,630 ratings"
The Help,Kathryn Stockett,"4.47 avg rating — 2,984,956 ratings"
Dracula,Bram Stoker,"4.02 avg rating — 1,436,561 ratings"
Charlotte’s Web,E.B. White,"4.21 avg rating — 2,015,205 ratings"
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,765,402 ratings"
Of Mice and Men,John Steinbeck,"3.89 avg rating — 2,784,092 ratings"
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"4.31 avg rating — 1,459,919 ratings"
1984,George Orwell,"4.20 avg rating — 5,321,640 ratings"
The Catcher in the Rye,J.D. Salinger,"3.80 avg rating — 3,838,382 ratings"
Little Women,Louisa May Alcott,"4.17 avg rating — 2,418,264 ratings"
One Hundred Years of Solitude,Gabriel García Márquez,"4.12 avg rating — 1,084,769 ratings"
A Thousand Splendid Suns,Khaled Hosseini,"4.45 avg rating — 1,705,105 ratings"
The Outsiders,S.E. Hinton,"4.14 avg rating — 1,562,662 ratings"
The Secret Garden,Frances Hodgson Burnett,"4.17 avg rating — 1,276,756 ratings"
The Princess Bride,William Goldman,"4.27 avg rating — 941,491 ratings"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"4.45 avg rating — 2,698,038 ratings"
The Time Traveler's Wife,Audrey Niffenegger,"really liked it4.00 avg rating — 1,849,461 ratings"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"4.62 avg rating — 4,050,225 ratings"
The Odyssey,Homer,"3.83 avg rating — 1,170,632 ratings"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"3.89 avg rating — 1,802,661 ratings"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"3.97 avg rating — 1,270,573 ratings"
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"4.15 avg rating — 2,364,131 ratings"
The Kite Runner,Khaled Hosseini,"4.35 avg rating — 3,439,153 ratings"
"The Giver (The Giver, #1)",Lois Lowry,"4.12 avg rating — 2,762,008 ratings"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"4.58 avg rating — 4,741,989 ratings"
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"4.17 avg rating — 3,407,663 ratings"
Dune (Dune #1),Frank Herbert,"4.29 avg rating — 1,594,394 ratings"
Where the Wild Things Are,Maurice Sendak,"4.25 avg rating — 1,050,338 ratings"
Green Eggs and Ham,Dr. Seuss,"4.31 avg rating — 837,046 ratings"
The Lovely Bones,Alice Sebold,"3.86 avg rating — 2,449,034 ratings"
The Adventures of Huckleberry Finn,Mark Twain,"3.83 avg rating — 1,326,608 ratings"
Life of Pi,Yann Martel,"3.94 avg rating — 1,738,462 ratings"
Lolita,Vladimir Nabokov,"3.87 avg rating — 930,267 ratings"
A Tale of Two Cities,Charles Dickens,"3.88 avg rating — 1,003,034 ratings"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"4.10 avg rating — 1,464,569 ratings"
The Bell Jar,Sylvia Plath,"4.05 avg rating — 1,183,024 ratings"
Matilda,Roald Dahl,"4.33 avg rating — 1,089,560 ratings"
Water for Elephants,Sara Gruen,"4.11 avg rating — 1,688,965 ratings"
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 11,198,430 ratings"
The Stand,Stephen        King,"4.35 avg rating — 822,938 ratings"
Catch-22,Joseph Heller,"3.99 avg rating — 879,149 ratings"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"4.30 avg rating — 322,872 ratings"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.35 avg rating — 818,117 ratings"
Rebecca,Daphne du Maurier,"4.25 avg rating — 710,228 ratings"
"Watership Down (Watership Down, #1)",Richard  Adams,"4.09 avg rating — 502,008 ratings"
Great Expectations,Charles Dickens,"3.80 avg rating — 864,170 ratings"
The Color Purple,Alice Walker,"4.28 avg rating — 743,857 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.26 avg rating — 1,140,664 ratings"
Anna Karenina,Leo Tolstoy,"4.10 avg rating — 916,905 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.40 avg rating — 3,090,805 ratings"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 773,044 ratings"
My Sister's Keeper,Jodi Picoult,"4.11 avg rating — 1,268,476 ratings"
The Brothers Karamazov,Fyodor Dostoevsky,"4.39 avg rating — 377,010 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,764,408 ratings"
A Clockwork Orange,Anthony Burgess,"really liked it4.00 avg rating — 759,971 ratings"
A Tree Grows in Brooklyn,Betty  Smith,"4.30 avg rating — 505,100 ratings"
The Road,Cormac McCarthy,"really liked it4.00 avg rating — 1,015,943 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.03 avg rating — 1,603,335 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"4.10 avg rating — 676,615 ratings"
Siddhartha,Hermann Hesse,"4.08 avg rating — 859,179 ratings"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.57 avg rating — 4,118,891 ratings"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"4.15 avg rating — 654,071 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.91 avg rating — 300,700 ratings"
And Then There Were None,Agatha Christie,"4.27 avg rating — 1,572,657 ratings"
The Elephant Tree,R.D. Ronald,"3.89 avg rating — 39,023 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.81 avg rating — 1,284,687 ratings"
The Poisonwood Bible,Barbara Kingsolver,"4.11 avg rating — 786,038 ratings"
The Complete Stories and Poems,Edgar Allan Poe,"4.40 avg rating — 293,320 ratings"
